family,sample_idx,deletion_auc,insertion_auc
densenet121,2510,0.5402107690949255,0.577594614231395
densenet121,19664,0.6443671132743052,0.678214728498385
densenet121,2740,0.679757457367032,0.7240200416632502
densenet121,4872,0.6570074373977516,0.7307391689170345
densenet121,4574,0.6855638265582963,0.5056292774059764
densenet121,4029,0.6612161886800232,0.5262609960748792
densenet121,18720,0.5752419014357708,0.4499249427044825
densenet121,1514,0.6806575876201435,0.5841047882433272
densenet121,1550,0.711230132770722,0.6241144959860551
densenet121,4564,0.6913443308583362,0.7314536110116128
densenet121,4498,0.5712330821822735,0.6658427005308412
densenet121,1557,0.603616757842474,0.6321380916397324
densenet121,2195,0.6015778983078176,0.63588357928781
densenet121,2545,0.492204759788704,0.7069488243945028
densenet121,12693,0.77557267269367,0.8746156487504777
densenet121,4750,0.4754908125470365,0.5226814013413446
densenet121,18268,0.6423741680694093,0.688861907513056
densenet121,18844,0.3393151734977312,0.26648667377537016
densenet121,29937,0.7849913721034909,0.7273757204473128
densenet121,1367,0.3302759741585899,0.7355050714779452
densenet121,26201,0.7112211066813643,0.5783159020397193
densenet121,7843,0.8872909419878852,0.9327281080368266
densenet121,25933,0.27492239545240077,0.1561817647457711
densenet121,7777,0.299802278622856,0.34946676696052414
densenet121,3199,0.5770185259339087,0.33682890441968993
densenet121,1633,0.8041266991039038,0.5464227699308353
densenet121,5569,0.23346233121580878,0.11785727967936578
densenet121,32022,0.5305719422508282,0.569578723477207
densenet121,4352,0.5988420121108096,0.4798270971165337
densenet121,5398,0.23666407042348858,0.5966297615364375
densenet121,1836,0.6620858274973216,0.46320705995452727
densenet121,6819,0.37313353801188354,0.23945648246797835
densenet121,30428,0.22552691834718175,0.49149849913149035
densenet121,11121,0.7337294517942325,0.280434837259829
densenet121,34333,0.14782865939124523,0.0471552580442865
densenet121,11558,0.2265466335635431,0.18161902885039333
densenet121,15095,0.40550363830217584,0.35523316717210773
densenet121,5482,0.5758611103795113,0.6554096861909974
